GeneID,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TPD52L1,4.41E-275,-0.72355212,0.006,0.254,1.46E-270
TTC3,2.64E-274,0.577519393,0.876,0.722,8.72E-270
RPL23A,2.84E-274,-0.404639351,0.966,0.969,9.39E-270
WLS,1.44E-273,-0.650846813,0.005,0.251,4.75E-269
PAK5,5.99E-273,0.632545789,0.315,0.029,1.98E-268
GRIA2,1.71E-271,0.790272177,0.392,0.076,5.64E-267
TSPAN13,1.22E-270,0.696036601,0.554,0.204,4.02E-266
COL3A1,1.31E-270,-1.42335494,0.007,0.254,4.33E-266
PPA1,8.77E-270,0.593401148,0.773,0.492,2.90E-265
NEFL,8.72E-269,-1.052309283,0.034,0.307,2.88E-264
CHCHD10,5.01E-268,-0.79581112,0.184,0.506,1.65E-263
CYBA,1.01E-267,-0.585785405,0.004,0.244,3.35E-263
ZIC2,1.03E-267,-0.701264496,0.036,0.311,3.41E-263
TPBG,4.09E-266,-0.711872534,0.005,0.244,1.35E-261
NEUROD1,1.06E-265,-1.317413393,0.091,0.382,3.49E-261
CD44,1.48E-265,-0.679371086,0.005,0.245,4.91E-261
PERP,2.91E-264,-0.570776382,0.008,0.251,9.61E-260
S100A11,5.74E-264,-0.870286443,0.006,0.245,1.90E-259
S100A13,1.26E-263,-0.593908069,0.022,0.281,4.15E-259
RAB3A,1.15E-262,0.721027005,0.547,0.206,3.80E-258
ACTR3B,2.72E-262,0.703630474,0.381,0.079,9.00E-258
FOLR1,1.26E-261,-0.703359784,0.003,0.237,4.15E-257
